Unnamee: 0,lnd,lnT,lnR,L,dq,conv_vel,h1,he3,he4,c12,n14,o16,ne20,mg24
43,-1.9014090719592957e+01,1.0832556327984883e+01,2.6567178347573094e+01,7.7444237689818562e+37,4.5229516146344890e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138473e-05,2.7997020236474883e-01,3.4416073257059753e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
44,-1.8993061315617556e+01,1.0839307401974562e+01,2.6567131055276473e+01,7.7444237689818011e+37,4.5229516146344632e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138473e-05,2.7997020236474883e-01,3.4416073257059753e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
45,-1.8962565838547060e+01,1.0849103839751943e+01,2.6567084740621802e+01,7.7444237689817470e+37,9.0459032292689265e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138476e-05,2.7997020236474883e-01,3.4416073257059758e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
46,-1.8923226630119632e+01,1.0861421877521448e+01,2.6566994875095737e+01,7.7444237689816342e+37,9.0459032292689265e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138476e-05,2.7997020236474883e-01,3.4416073257059758e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
47,-1.8872245136771788e+01,1.0877359447955339e+01,2.6566908453324935e+01,7.7444237689815187e+37,1.5784797581274620e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138480e-05,2.7997020236474883e-01,3.4416073257059762e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
48,-1.8825560099180631e+01,1.0891288419704483e+01,2.6566765096311577e+01,7.7444237689813144e+37,7.8923987906373334e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138480e-05,2.7997020236474883e-01,3.4416073257059762e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
49,-1.8795972253662027e+01,1.0900167349342495e+01,2.6566696665472582e+01,7.7444237689812105e+37,7.8923987906373076e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138480e-05,2.7997020236474883e-01,3.4416073257059762e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
50,-1.8753646033242185e+01,1.0912924813773592e+01,2.6566630216251705e+01,7.7444237689811039e+37,1.5784797581274620e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138485e-05,2.7997020236474883e-01,3.4416073257059767e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
51,-1.8712793570168939e+01,1.0924790517420051e+01,2.6566502788464241e+01,7.7444237689808907e+37,7.8923987906373334e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138485e-05,2.7997020236474883e-01,3.4416073257059767e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
52,-1.8686748249424628e+01,1.0932407352097752e+01,2.6566441607683182e+01,7.7444237689807824e+37,7.8923987906373334e-12,0.0000000000000000e+00,7.0000000000000000e-01,2.9797635251138432e-05,2.7997020236474883e-01,3.4416073257059700e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537611e-03
53,-1.8649304685471221e+01,1.0943423347148404e+01,2.6566381989001031e+01,7.7444237689806714e+37,1.5784797581276095e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138485e-05,2.7997020236474883e-01,3.4416073257059767e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
54,-1.8601555817114274e+01,1.0957205117602131e+01,2.6566267103687999e+01,7.7444237689804502e+37,1.5784797581274647e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138485e-05,2.7997020236474883e-01,3.4416073257059767e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
55,-1.8556369170487794e+01,1.0970172217731217e+01,2.6566157538229955e+01,7.7444237689802246e+37,1.5784797581274593e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138485e-05,2.7997020236474883e-01,3.4416073257059767e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
56,-1.8513490030787400e+01,1.0982418776519147e+01,2.6566052779803337e+01,7.7444237689799964e+37,1.5784797581274647e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138485e-05,2.7997020236474883e-01,3.4416073257059767e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
57,-1.8471500193712451e+01,1.0994377258398928e+01,2.6565952387495683e+01,7.7444237689797672e+37,1.6756169740122313e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138490e-05,2.7997020236474883e-01,3.4416073257059776e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
58,-1.8430333573586892e+01,1.1006045831152910e+01,2.6565850168359581e+01,7.7444237689795185e+37,1.6756169740122313e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138490e-05,2.7997020236474883e-01,3.4416073257059776e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
59,-1.8391103286518820e+01,1.1017131634194849e+01,2.6565752042317112e+01,7.7444237689792680e+37,1.6756169740122313e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138490e-05,2.7997020236474883e-01,3.4416073257059776e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
60,-1.8362753207010783e+01,1.1025062799224263e+01,2.6565657664008068e+01,7.7444237689790158e+37,8.3780848700611674e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
61,-1.8344440750387313e+01,1.1030221524090391e+01,2.6565611784232556e+01,7.7444237689788888e+37,8.3780848700611674e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
62,-1.8317799608716097e+01,1.1037775513762391e+01,2.6565566730837528e+01,7.7444237689787609e+37,1.6756169740122313e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
63,-1.8283455358706586e+01,1.1047426349186522e+01,2.6565478975420551e+01,7.7444237689785042e+37,1.6756169740122313e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
64,-1.8234776450307276e+01,1.1061276291186414e+01,2.6565394160778152e+01,7.7444237689782458e+37,3.3512339480244626e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
65,-1.8188335886644486e+01,1.1074142363834353e+01,2.6565232531367066e+01,7.7444237689777208e+37,1.6756169740122313e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
66,-1.8158941343337904e+01,1.1082394680632376e+01,2.6565155356287690e+01,7.7444237689774571e+37,1.6756169740122262e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
67,-1.8130584223437487e+01,1.1090361660149177e+01,2.6565080399614684e+01,7.7444237689771915e+37,1.6756169740125415e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
68,-1.8103190313933170e+01,1.1098063108309152e+01,2.6565007522483821e+01,7.7444237689769241e+37,1.6756169740122313e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
69,-1.8063941232374610e+01,1.1109221873852137e+01,2.6564936599349509e+01,7.7444237689766550e+37,3.3512339480244626e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
70,-1.8014210303624286e+01,1.1123226588397474e+01,2.6564800170149651e+01,7.7444237689761141e+37,3.3512339480244626e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
71,-1.7966404916377487e+01,1.1136722678307509e+01,2.6564670307895306e+01,7.7444237689755661e+37,3.4969397718516130e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
72,-1.7931488428582400e+01,1.1146503519646704e+01,2.6564541074869429e+01,7.7444237689749897e+37,1.7484698859258012e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
73,-1.7909124383253329e+01,1.1152838333473733e+01,2.6564478657662542e+01,7.7444237689747001e+37,1.7484698859258116e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
74,-1.7876830344742979e+01,1.1162077040823326e+01,2.6564417609558672e+01,7.7444237689744088e+37,3.4969397718516130e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
75,-1.7835570336740302e+01,1.1173801738304780e+01,2.6564299361545677e+01,7.7444237689738226e+37,3.4969397718516024e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
76,-1.7796364308523500e+01,1.1184976034356024e+01,2.6564185853712429e+01,7.7444237689732320e+37,3.4969397718516130e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138494e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
77,-1.7759014896931879e+01,1.1195651890472222e+01,2.6564076673498671e+01,7.7444237689726378e+37,3.4969397718516024e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340915e-03,4.0903243956537602e-03
78,-1.7723361569606317e+01,1.1205873948819586e+01,2.6563971462059647e+01,7.7444237689720392e+37,3.4969397718516130e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
79,-1.7689263015739600e+01,1.1215680826072238e+01,2.6563869904182175e+01,7.7444237689714370e+37,3.4969397718516130e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
80,-1.7641007178449619e+01,1.1229784100973636e+01,2.6563771721493387e+01,7.7444237689708304e+37,6.9938795437032261e-11,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138498e-05,2.7997020236474883e-01,3.4416073257059784e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
